taxid	gcode	name	superkingdom	phylum	class	order	family	genus	species
547559	11	Natrialba magadii ATCC 43099	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba magadii
439481	11	Aciduliprofundum boonei T469	Archaea	Euryarchaeota	NA	NA	NA	Aciduliprofundum	Aciduliprofundum boonei
309800	11	Haloferax volcanii DS2	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax volcanii
547558	11	Methanohalophilus mahii DSM 5219	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus mahii
348780	11	Natronomonas pharaonis DSM 2160	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas pharaonis
351160	11	Methanocella arvoryzae MRE50	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella arvoryzae
478009	11	Halobacterium salinarum R1	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
243232	11	Methanocaldococcus jannaschii DSM 2661	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
633148	11	Thermosphaera aggregans DSM 11486	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	Thermosphaera aggregans
573063	11	Methanocaldococcus infernus ME	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus infernus
591019	11	Staphylothermus hellenicus DSM 12710	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus
666510	11	Acidilobus saccharovorans 345-15	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans
79929	11	Methanothermobacter marburgensis str. Marburg	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter marburgensis
583356	11	Ignisphaera aggregans DSM 17230	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans
679926	11	Methanolacinia petrolearia DSM 11571	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia
572478	11	Vulcanisaeta distributa DSM 14429	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta distributa
391623	11	Thermococcus barophilus MP	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus
246969	11	Thermococcus sp. AM4	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. AM4
521002	11	Methanobrevibacter smithii DSM 2374	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
483214	11	Methanobrevibacter smithii DSM 2375	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
333146	11	Ferroplasma acidarmanus fer1	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus
523846	11	Methanothermus fervidus DSM 2088	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus
469382	11	Halogeometricum borinquense DSM 11551	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense
647113	11	Methanothermococcus okinawensis IH1	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis
765177	11	Desulfurococcus mucosus DSM 2162	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus
797209	11	Haladaptatus paucihalophilus DX253	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Haladaptatus paucihalophilus
