taxid	gcode	name	superkingdom	phylum	class	order	family	genus	species
1227453	11	Haloarcula japonica DSM 6131	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula japonica
931277	11	Halococcus morrhuae DSM 1307	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus morrhuae
1227457	11	Halococcus thailandensis JCM 13552	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus thailandensis
1227458	11	Haloferax alexandrinus JCM 10717	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax alexandrinus
1230453	11	Haloferax elongans ATCC BAA-1513	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax elongans
1227459	11	Haloferax gibbonsii ATCC 33959	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax gibbonsii
1230452	11	Haloferax lucentense DSM 14919	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax lucentense
1227461	11	Haloferax prahovense DSM 18310	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax prahovense
1227463	11	Haloferax sp. ATCC BAA-645	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax sp. ATCC BAA-645
1227464	11	Haloferax sp. ATCC BAA-646	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax sp. ATCC BAA-646
1227465	11	Halorubrum californiensis DSM 19288	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum californiense
1230451	11	Haloarcula argentinensis DSM 12282	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula argentinensis
1227455	11	Halococcus saccharolyticus DSM 5350	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus saccharolyticus
1227456	11	Halococcus salifodinae DSM 8989	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus salifodinae
1227460	11	Haloferax larsenii JCM 13917	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax larsenii
1227462	11	Haloferax sp. ATCC BAA-644	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax sp. ATCC BAA-644
1230454	11	Halorubrum aidingense JCM 13560	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum aidingense
1230455	11	Halorubrum arcis JCM 13916	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum arcis
1227466	11	Halorubrum coriense DSM 10284	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum coriense
1227467	11	Halorubrum distributum JCM 9100	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum distributum
1227481	11	Halorubrum hochstenium ATCC 700873	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum hochstenium
1227487	11	Halogeometricum pallidum JCM 14848	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum pallidum
1227489	11	Haloterrigena thermotolerans DSM 11522	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena thermotolerans
1227492	11	Natrialba chahannaoensis JCM 10990	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba chahannaoensis
1227494	11	Natrinema altunense JCM 12890	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema altunense
1230459	11	Natrinema gari JCM 14663	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema gari
1227496	11	Natrinema versiforme JCM 10478	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema versiforme
1227499	11	Natronolimnobius innermongolicus JCM 12255	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronolimnobius	Natronolimnobius innermongolicus
1114856	11	Natronorubrum tibetense GA33	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	Natronorubrum tibetense
662476	11	Haloarcula sinaiiensis ATCC 33800	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula sinaiiensis
1227468	11	Halorubrum distributum JCM 10118	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum distributum
1230456	11	Halorubrum kocurii JCM 14978	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum kocurii
1227482	11	Halorubrum lipolyticum DSM 21995	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum lipolyticum
1227483	11	Halorubrum litoreum JCM 13561	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum litoreum
1227485	11	Halorubrum tebenquichense DSM 14210	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum tebenquichense
1227486	11	Halorubrum terrestre JCM 10247	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum terrestre
797114	11	Halosimplex carlsbadense 2-9-1	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halosimplex	Halosimplex carlsbadense
1230457	11	Haloterrigena limicola JCM 13563	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena limicola
1227488	11	Haloterrigena salina JCM 13891	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena salina
1227490	11	Halovivax asiaticus JCM 14624	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halovivax	Halovivax asiaticus
1227491	11	Natrialba aegyptia DSM 13077	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba aegyptia
29540	11	Natrialba asiatica DSM 12278	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba asiatica
1227493	11	Natrialba hulunbeirensis JCM 10989	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba hulunbeirensis
1230458	11	Natrialba taiwanensis DSM 12281	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba taiwanensis
1227495	11	Natrinema pallidum DSM 3751	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema pallidum
1227497	11	Natronococcus amylolyticus DSM 10524	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronococcus	Natronococcus amylolyticus
1227498	11	Natronococcus jeotgali DSM 18795	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronococcus	Natronococcus jeotgali
1227500	11	Natronorubrum bangense JCM 10635	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	Natronorubrum bangense
1230460	11	Natronorubrum sulfidifaciens JCM 14089	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	Natronorubrum sulfidifaciens
662475	11	Haloarcula californiae ATCC 33799	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula californiae
662477	11	Haloarcula vallismortis ATCC 29715	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula vallismortis
662478	11	Haloferax denitrificans ATCC 35960	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax denitrificans
662479	11	Haloferax mucosum ATCC BAA-1512	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mucosum
662480	11	Haloferax sulfurifontis ATCC BAA-897	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax sulfurifontis
1227454	11	Halobiforma nitratireducens JCM 10879	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	Halobiforma nitratireducens
1227484	11	Halorubrum saccharovorum DSM 1137	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum saccharovorum
1028567	11	Sulfolobus acidocaldarius Ron12/I	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
1028566	11	Sulfolobus acidocaldarius N8	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
1236903	11	Methanosarcina mazei Tuc01	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
1198116	11	Thermoplasmatales archaeon SCGC AB-539-N05	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SCGC AB-539-N05
1242866	11	Thermoplasmatales archaeon SCGC AB-540-F20	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SCGC AB-540-F20
1054217	11	Thermoplasmatales archaeon BRNA1	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon BRNA1
1069083	11	Methanocaldococcus villosus KIN24-T80	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus villosus
1241935	11	Sulfolobus islandicus LAL14/1	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1242690	11	Thermoplasmatales archaeon SCGC AB-539-C06	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon SCGC AB-539-C06
1130299	11	crenarchaeote SCGC AAA261-C22	Archaea	Crenarchaeota	NA	NA	NA	NA	crenarchaeote SCGC AAA261-C22
1130302	11	crenarchaeote SCGC AAA261-L14	Archaea	Crenarchaeota	NA	NA	NA	NA	crenarchaeote SCGC AAA261-L14
1130300	11	crenarchaeote SCGC AAA261-F05	Archaea	Crenarchaeota	NA	NA	NA	NA	crenarchaeote SCGC AAA261-F05
1130301	11	crenarchaeote SCGC AAA261-G18	Archaea	Crenarchaeota	NA	NA	NA	NA	crenarchaeote SCGC AAA261-G18
1130305	11	crenarchaeote SCGC AAA261-N23	Archaea	Crenarchaeota	NA	NA	NA	NA	crenarchaeote SCGC AAA261-N23
1130317	11	euryarchaeote SCGC AAA261-E04	Archaea	Euryarchaeota	NA	NA	NA	NA	euryarchaeote SCGC AAA261-E04
1130304	11	crenarchaeote SCGC AAA261-N13	Archaea	Crenarchaeota	NA	NA	NA	NA	crenarchaeote SCGC AAA261-N13
1130318	11	euryarchaeote SCGC AAA261-G15	Archaea	Euryarchaeota	NA	NA	NA	NA	euryarchaeote SCGC AAA261-G15
1131268	11	Marine Group II euryarchaeote SCGC AB-629-J06	Archaea	Euryarchaeota	NA	NA	NA	NA	Marine Group II euryarchaeote SCGC AB-629-J06
523845	11	Methanothermococcus thermolithotrophicus DSM 2095	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus thermolithotrophicus
1069082	11	Halomicrobium katesii DSM 19301	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium katesii
1052801	11	Crenarchaeota archaeon SCGC AAA471-B05	Archaea	Crenarchaeota	NA	NA	NA	NA	Crenarchaeota archaeon SCGC AAA471-B05
387631	11	Archaeoglobus sulfaticallidus PM70-1	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sulfaticallidus
1294123	11	Sulfolobales archaeon Acd1	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	NA	NA	Sulfolobales archaeon Acd1
1052806	11	Crenarchaeota archaeon SCGC AAA471-O08	Archaea	Crenarchaeota	NA	NA	NA	NA	Crenarchaeota archaeon SCGC AAA471-O08
1052805	11	Crenarchaeota archaeon SCGC AAA471-L14	Archaea	Crenarchaeota	NA	NA	NA	NA	Crenarchaeota archaeon SCGC AAA471-L14
1261545	11	Halarchaeum acidiphilum MH1-52-1	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halarchaeum	Halarchaeum acidiphilum
1052804	11	Crenarchaeota archaeon SCGC AAA471-L13	Archaea	Crenarchaeota	NA	NA	NA	NA	Crenarchaeota archaeon SCGC AAA471-L13
913322	11	Euryarchaeota archaeon SCGC AAA252-I15	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon SCGC AAA252-I15
1052803	11	Crenarchaeota archaeon SCGC AAA471-C03	Archaea	Crenarchaeota	NA	NA	NA	NA	Crenarchaeota archaeon SCGC AAA471-C03
1333523	11	Salinarchaeum sp. Harcht-Bsk1	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Salinarchaeum	Salinarchaeum sp. Harcht-Bsk1
224719	11	Methanobrevibacter sp. AbM4	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. AbM4
1295009	11	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus Methanomassiliicoccus intestinalis
1052802	11	Crenarchaeota archaeon SCGC AAA471-B23	Archaea	Crenarchaeota	NA	NA	NA	NA	Crenarchaeota archaeon SCGC AAA471-B23
1325472	11	halophilic archaeon J07HX5	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA	halophilic archaeon J07HX5
1238424	11	Haloquadratum walsbyi J07HQW1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
1238425	11	Haloquadratum walsbyi J07HQW2	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
1238426	11	Haloquadratum sp. J07HQX50	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum sp. J07HQX50
1238427	11	Halonotius sp. J07HN6	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halonotius	Halonotius sp. J07HN6
1238428	11	Halorubrum sp. J07HR59	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. J07HR59
1070774	11	Halonotius sp. J07HN4	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halonotius	Halonotius sp. J07HN4
1085028	11	halophilic archaeon J07HX64	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA	halophilic archaeon J07HX64
1085029	11	halophilic archaeon J07HB67	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA	halophilic archaeon J07HB67
1121945	11	Halorubrum ezzemoulense DSM 17463	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum ezzemoulense
926690	11	Haloplanus natans DSM 17983	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus natans
913025	11	Thermococcus sp. PK	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. PK
1122230	11	Methanocorpusculum bavaricum DSM 4179	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum bavaricum
1263088	11	Methanobrevibacter smithii CAG	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii CAG
1262903	11	Methanoculleus sp. CAG	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus sp. CAG
1365176	11	Thermofilum adornatus	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum adornatus
667135	11	Thermoplasmatales archaeon A-plasma	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon A-plasma
1071085	11	haloarchaeon 3A1_DGR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA	haloarchaeon 3A1_DGR
1293048	11	Halopiger goleimassiliensis	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger	Halopiger goleimassiliensis
1293047	11	Halopiger djelfimassiliensis	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger	Halopiger djelfimassiliensis
1298899	11	Euryarchaeota archaeum SCGC AAA287-I03	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeum SCGC AAA287-I03
1298898	11	Euryarchaeota archaeon SCGC AAA286-E23	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon SCGC AAA286-E23
1298895	11	Euryarchaeota archaeum SCGC AAA287-E17	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeum SCGC AAA287-E17
1298894	11	Euryarchaeota archaeum SCGC AAA287-N16	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeum SCGC AAA287-N16
1172566	11	Natrinema sp. J7-1	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema sp. J7-1
1415632	11	crenarchaeote JGI-OTU-1	Archaea	Crenarchaeota	NA	NA	NA	NA	crenarchaeote JGI-OTU-1
1324957	11	Candidatus Halobonum tyrrellensis G22	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	Candidatus Halobonum	Candidatus Halobonum tyrrellensis
1410573	11	uncultured Acidilobus sp. MG	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. MG
1410574	11	uncultured Acidilobus sp. CIS	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. CIS
1410575	11	uncultured Acidilobus sp. OSP8	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. OSP8
1410576	11	uncultured Acidilobus sp. JCHS	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	uncultured Acidilobus sp. JCHS
667137	11	Thermoplasmatales archaeon E-plasma	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon E-plasma
261388	11	Ferroplasma sp. Type II	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma sp. Type II
1379702	11	Methanobacterium sp. MB1	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. MB1
1090322	11	Methanolobus tindarius DSM 2278	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus tindarius
1417673	11	Haloarcula hispanica N601	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula hispanica
1435377	11	Sulfolobus acidocaldarius SUSAZ	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
1401244	11	Methanobrevibacter arboriphilus ANOR1	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter arboriphilus
1173487	11	Halorubrum sp. AJ67	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. AJ67
1150674	11	Desulfurococcus amylolyticus Z-533	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus
582419	11	Thermococcus paralvinellae	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus paralvinellae
797299	11	Halostagnicola larsenii XH-48	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halostagnicola	Halostagnicola larsenii
1415626	11	Methanobrevibacter oralis JMR01	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter oralis
1326980	11	Sulfolobales archaeon AZ1	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	NA	NA	Sulfolobales archaeon AZ1
195522	11	Thermococcus nautili	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus nautili
1198449	11	Aeropyrum camini SY1 = JCM 12091	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini
268739	11	Natronomonas moolapensis 8.8.11	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas moolapensis
1410664	11	Methanobrevibacter wolinii SH	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter wolinii
1160895	11	Candidatus Acidianus copahuensis	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Candidatus Acidianus copahuensis
1392998	11	Candidatus Methanoperedens nitroreducens	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Candidatus Methanoperedenaceae	Candidatus Methanoperedens	Candidatus Methanoperedens nitroreducens
1416969	11	Haloterrigena mahii	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena mahii
1495067	11	Halostagnicola sp. A56	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halostagnicola	Halostagnicola sp. A56
1495314	11	Methanoculleus sp. MH98A	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus sp. MH98A
2248	11	Halorubrum saccharovorum	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum saccharovorum
1455609	11	Haloterrigena jeotgali A29	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena jeotgali
1455608	11	Haladaptatus cibarius D43	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Haladaptatus cibarius
694440	11	Methanomicrobium mobile BP	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanomicrobium	Methanomicrobium mobile
1122233	11	Methermicoccus shengliensis DSM 18856	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methermicoccaceae	Methermicoccus	Methermicoccus shengliensis
114529	11	Haloferax alexandrinus	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax alexandrinus
1343739	11	Palaeococcus pacificus DY20341	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus pacificus
1508454	11	Haloferax sp. ATB1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax sp. ATB1
222984	11	Natrinema altunense	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema altunense
1344584	11	Archaeoglobus fulgidus DSM 8774	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
1301915	11	Methanocaldococcus bathoardescens	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus bathoardescens
1380430	11	Halolamina rubra	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halolamina	Halolamina rubra
1448860	11	Halobellus rufus	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halobellus	Halobellus rufus
413816	11	Halorubrum halophilum	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum halophilum
1036677	11	Methanosarcina soligelidi	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina soligelidi
1495336	11	Methanobacterium sp. SMA-27	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. SMA-27
408577	11	Methanobacterium veterum	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium veterum
386456	11	Methanobacterium arcticum	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium arcticum
1498500	11	Halorubrum sp. BV1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. BV1
43687	11	Metallosphaera sedula	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
1457250	11	Halapricum salinum	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halapricum	Halapricum salinum
1264579	11	Halococcus sediminicola	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus sediminicola
2162	11	Methanobacterium formicicum	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum
2226	11	Methanococcoides methylutens	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens
1505907	11	Thermococcus eurythermalis	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus eurythermalis
1202768	11	Halopiger salifodinae	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger	Halopiger salifodinae
230356	11	Methanolacinia paynteri	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia paynteri
565033	11	Geoglobus acetivorans	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus acetivorans
1577791	11	Candidatus Methanoplasma termitum	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Candidatus Methanoplasma	Candidatus Methanoplasma termitum
697581	11	Thermofilum carboxyditrophus 1505	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum carboxyditrophus
575195	11	Haloarcula salaria	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula salaria
1432656	11	Thermococcus guaymasensis DSM 11113	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus guaymasensis
